,,,,,,,,
,020.000.3801.00,Vacuna B.C.G. suspensión inyectable,"Cada dosis de 0.1 ml de la suspensión reconstituida de bacilos atenuados contiene la cepa: Francesa 1173P2 200 000-500 000 UFC
o Danesa 1331 200 000-300 000 UFC o Glaxo*
107 800 000-3 200 000 UFC o Tokio 172 200
000-3 000 000 UFC o Montreal 200 000 3 200
000 UFC o Moscow 200 000- 1 000 000 UFC
Envase con frasco ámpula o ampolleta con liofilizado para 5 dosis y ampolletas con diluyente de 0.5 ml.",,,,,
,020.000.3801.01,Vacuna B.C.G. suspensión inyectable,"Cada dosis de 0.1 ml de la suspensión reconstituida de bacilos atenuados contiene la cepa: Francesa 1173P2 200 000-500 000 UFC o Danesa 1331 200 000-300 000 UFC o Glaxo*
107 800 000-3 200 000 UFC o Tokio 172 200
000-3 000 000 UFC o Montreal 200 000 3 200
000 UFC o Moscow 200 000- 1 000 000 UFC
Envase con frasco ámpula o ampolleta con liofilizado para 10 dosis y ampolletas con diluyente de 1.0 ml. *Semilla Mérieux.",,,,,
,020.000.2511.00,Vacuna recombinante contra la hepatitis B suspensión inyectable,Cada dosis de 1 ml contiene: AgsHb 20 μg Envase con un frasco ámpula o jeringa prellenada con 1 ml,,,,,
,020.000.2526.00,Vacuna recombinante contra la hepatitis B suspensión inyectable,Cada dosis de 1 ml contiene: AgsHb 20 μg Envase con un frasco ámpula con 10 ml (10 dosis).,,,,,
,020.000.2527.00,Vacuna recombinante contra la hepatitis B suspensión inyectable,Cada dosis de 0.5 ml contiene: Antígeno de superficie del virus de la hepatitis B purificado DNA recombinante 10 μg Envase con jeringa prellenada con 0.5 ml o frasco ámpula con 0.5 ml.,,,,,
,020.000.2529.00,Vacuna recombinante contra la hepatitis B suspensión inyectable,"Cada dosis de 0.5 ml contiene: Antígeno de superficie del virus de la hepatitis B purificado DNA recombinante 5 μg Envase con 1 frasco ámpula con dosis de 0.5 ml, con o sin conservador.",,,,,
,020.000.2529.01,Vacuna recombinante contra la hepatitis B suspensión inyectable,"Cada dosis de 0.5 ml contiene: Antígeno de superficie del virus de la hepatitis B purificado DNA recombinante 5 μg Envase con 10 frascos ámpula con dosis de 0.5 ml, con o sin conservador.",,,,,
,020.000.2522.00,"Vacuna acelular antipertussis, con toxoides diftérico y tetánico adsorbidos, con vacuna antipoliomielítica inactivada y con vacuna conjugada de haemophilus influenzae tipo b suspensión inyectable","Cada dosis de 0.5 ml de vacuna reconstituida contiene: Toxoide diftérico purificado con mayor o igual a 30 UI Toxoide tetánico purificado con mayor o igual a 40 UI Toxoide pertússico purificado adsorbido 25 µg Con o sin pertactina 8 µg Hemaglutinina filamentosa purificada adsorbida 25 µg Virus de la poliomielitis tipo 1 inactivado 40 UD* Virus de la poliomielitis tipo 2 inactivado 8 UD* Virus de la poliomielitis tipo 3 inactivado 32 UD* Haemophilus influenzae Tipo b 10 µg (conjugado a la proteína tetánica) *Unidades  de antígeno D Envase con 1 dosis en jeringa prellenada de Vacuna acelular Antipertussis con Toxoides Diftérico y Tetánico Adsorbidos y Vacuna Antipoliomielítica inactivada y 1 dosis en frasco ámpula con liofilizado de Vacuna conjugada de Haemophilus influenzae tipo b, para reconstituir con la suspensión de la jeringa.",,,,,
,020.000.2522.01,"Vacuna acelular antipertussis, con toxoides diftérico y tetánico adsorbidos, con vacuna antipoliomielítica inactivada y con vacuna conjugada de haemophilus influenzae tipo b vacuna acelular antipertussis, con toxoides diftérico y tetánico adsorbidos, con vacuna antipoliomielítica inactivada y con vacuna conjugada de haemophilus influenzae tipo b suspensión inyectable","Cada dosis de 0.5 ml de vacuna reconstituida contiene: Toxoide diftérico purificado con  mayor o igual a 30 UI Toxoide tetánico purificado con mayor o igual a 40 UI Toxoide pertússico purificado adsorbido 25 µg Con o sin pertactina 8 µg Hemaglutinina filamentosa purificada adsorbida 25 µg Virus de la poliomielitis tipo 1 inactivado 40 UD* Virus de la poliomielitis tipo 2 inactivado 8 UD* Virus de la poliomielitis tipo 3 inactivado 32 UD* Haemophilus influenzae Tipo b 10 µg (conjugado a la proteína tetánica) *Unidades  de antígeno D. Envase con 20 dosis en jeringa prellenada de Vacuna acelular Antipertussis con Toxoides, Diftérico y Tetánico Adsorbidos y Vacuna Antipoliomielítica inactivada y 20   dosis en frasco ámpula con liofilizado de Vacuna conjugada de Haemophilus influenzae tipo b, para reconstituir con la suspensión de la jeringa.",,,,,
,020.000.0150.00,Vacuna contra rotavirus suspensión oral,Cada dosis de 1.5 ml contiene: Rotavirus vivo atenuado humano cepa RIX4414 No menos de 106 DICC50 Envase con jeringa prellenada con 1.5 ml.,,,,,
,020.000.0151.00,Vacuna pentavalente contra rotavirus suspensión,Cada dosis de 2 ml contiene: Serotipo reordenado G1 2.21 X 106 UI Serotipo reordenado G2 2.84 X 106 UI Serotipo reordenado G3 2.22 X 106 UI Serotipo reordenado G4 2.04 X 106 UI Serotipo reordenado P1 2.29 X 106 UI Envase con un tubo de plástico con 2 ml.,,,,,
